yrke_raa,antall_personer,normalisert,kategori,kilde,notat
Postmester,1,Postmester,Offentlig tjeneste,regel,"fallback-regel, sjekket manuelt"
Samlagsbetjent,1,Arbeider ved brennevinssamlaget,Offentlig tjeneste,regel,"fallback-regel, sjekket manuelt"
Slutter,1,Fengselsbetjent,Offentlig tjeneste,regel,
Sorenskriver,1,Sorenskriver,Offentlig tjeneste,regel,
Stadsveier,1,Offentlig veier,Offentlig tjeneste,regel,"fallback-regel, sjekket manuelt"
Tolbetjændt,1,Tollbetjent,Offentlig tjeneste,regel,"fallback-regel, sjekket manuelt"
Toldassistent,1,Tollassistent,Offentlig tjeneste,regel,
Toldcontrollør,1,Tollkontrollør,Offentlig tjeneste,regel,
Toldkasserer,1,Tollkasserer,Offentlig tjeneste,regel,
Toldkontorist,1,Tollkontorist,Offentlig tjeneste,regel,
Tolopsynsmand,1,Tolloppsynsmann,Offentlig tjeneste,regel,
"Underfoged og vagtmester, Overmaaler, Hovedstevnevidne, Havnekasserer, Forligelseskommissær",1,Retts- og kommuneadministrasjon,Offentlig tjeneste,manuell,
Vagtm. ved folkeskolen,1,Skolvaktmester,Offentlig tjeneste,manuell,
Vagtmand i Tabernaklet,1,Vaktmann,Frie yrker,regel,"fallback-regel, sjekket manuelt"
Vagtmand ved bryggen,1,Vaktmann,Frie yrker,regel,"fallback-regel, sjekket manuelt"
Vagtmester paa Folkeskole,1,Skolvaktmester,Offentlig tjeneste,manuell,
Veiformand,1,Veiarbeid / Veioppsyn,Offentlig tjeneste,manuell,
Veiopsynsmand for Smaalenene,1,Veiarbeid / Veioppsyn,Offentlig tjeneste,regel,
Veivogter,1,Veiarbeid / Veioppsyn,Offentlig tjeneste,regel,"fallback-regel, sjekket manuelt"
2den Styrmand,1,Styrmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
3 kl. Maskjinist pr. Dampskib,1,Maskinist (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
"Agent, Skibsrehder",1,Skipsreder,Sjøfart,regel,donkeymann = maskinpasser om bord
alm. Sømand,1,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Arbeider ved Skipsværft Styrmand,1,Styrmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
"Arbeider, sjauer",1,Stuer/bryggearbeider,Sjøfart,regel,
Dampskibsarbeider,1,Stuer/bryggearbeider,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
"Dampskibsarbeider, sjauer ombord",1,Stuer/bryggearbeider,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Dampskibsexpeditør,1,Dampskipsekspeditør,Sjøfart,manuell,butikkfunksjon/salg
DampskibsFyrbytter,1,Fyrbøter (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
DampskibsMasinist,1,Maskinist (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Dampskibsmaskinist,1,Maskinist (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Deksmand paa s/s Tista,1,Sjømann,Sjøfart,regel,donkeymann = maskinpasser om bord
Deleier i Firmaet P. Bergman Mel & Kornvarer en gross Dampskibsexpeditør,1,Interessent/deleier,Sjøfart,manuell,butikkfunksjon/salg
Disponent for dampskibsrederi,1,Disponent,Sjøfart,regel,"reder/megler er forretning, ikke mannskap"
Donkeymand,1,Donkeymann,Sjøfart,regel,donkeymann = maskinpasser om bord
Dæksgut med Dampbaad Trug,1,Dekksgutt,Sjøfart,regel,donkeymann = maskinpasser om bord
dæksmand,1,Sjømann,Sjøfart,regel,donkeymann = maskinpasser om bord
Enkefru Intresent i Firma P. Bergman Mel & Kornforr. Dampskibsexp.,1,Interessent/deleier,Frie yrker,manuell,butikkfunksjon/salg
Enkefrue Deleier i Firmaet P. Bergman Mel & Kornvarer en gross Dampskibsexpeditør,1,Interessent/deleier,Frie yrker,manuell,butikkfunksjon/salg
"Fhv Sømand Styrmand, nu ledighedsvis Dagarbeider",1,Dagarbeider,Dagarbeid,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Fhv: Skibsfører. - Lever af sin Formue,1,Lever av egne midler,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Fhv. skibsfører,1,Forsørget,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Fhv. skibsfører nu cafévert,1,Kafévert/-vertinne,Mat og drikke,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Fhv. Skipper skibsfører Lever af sine midler,1,Lever av egne midler,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Fhv. Sømand. Lidt Dagarbejde og forøvrigt Fattigunderstøttelse,1,Understøttes av fattigvesen,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Forhenverende Matros,1,Forsørget,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Forhenværende Skbs-tømmermand,1,Forsørget,Forsørget,regel,donkeymann = maskinpasser om bord
forhenværende skibsfører,1,Forsørget,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Forhenværende Skipper,1,Forsørget,Forsørget,regel,donkeymann = maskinpasser om bord
Forhenværende Styrmand nu understøttes af fattigvæsenet,1,Understøttes av fattigvesen,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Forhenværende sømand %Styrmand% nu understøttes af fattigvæsenet,1,Understøttes av fattigvesen,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Forsørget af Skibsfører,1,Forsørges av familie/privat,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Forsørget af Sømand,1,Forsørges av familie/privat,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
fv. skibsfører,1,Forsørget,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
fv. Skipper,1,Forsørget,Forsørget,regel,donkeymann = maskinpasser om bord
Fyrbøder Gasværket,1,Fyrbøter (industri),Industri,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Fyrbøder Mek Værkst Lærl,1,Fyrbøter (industri),Industri,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Fyrbøder paa Dampskib,1,Fyrbøter (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Fyrbøder paa dampskib,1,Fyrbøter (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Fyrbøder paa Damskib,1,Fyrbøter (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Fyrbøder paa Gardinfabrikken,1,Fyrbøter (industri),Industri,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
fyrbøder skofabrik,1,Fyrbøter (industri),Industri,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Fyrbøder ved Gasværket i Frhald,1,Fyrbøter (industri),Industri,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Gårdeier & Sømand,1,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Gårdeier og Skibstømmermand,1,Skipstømmermann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Jungmand,1,Jungmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Jungmand med Skib herfra,1,Jungmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Kok tilsøs,1,Skipskokk,Sjøfart,regel,donkeymann = maskinpasser om bord
"Komunens Tjeneste fhv Skibskaptein, Tilsynsmand ved kommunens Tomter og paa Mølen",1,Tilsynsmann,Offentlig tjeneste,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Let Matros,1,Lettmatros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Letmatros,1,Lettmatros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Lokomotivfyrbøder,1,Lokomotivfyrbøter,Transport,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Masinnist Dampskib,1,Maskinist (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Maskinist 'F.hald No 1',1,Maskinist (skip),Sjøfart,manuell,TVIL: antatt fartøyet 'F.hald No 1'
Maskinist Dampskib,1,Maskinist (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Maskinist dampskib,1,Maskinist (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Maskinist og Fyrbødter,1,Maskinist (skip),Sjøfart,manuell,TVIL: fyrbøter antatt til sjøs
Maskinist ombord i D/Skib,1,Maskinist (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Maskinist paa dampskib,1,Maskinist (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Maskinist på damskib,1,Maskinist (skip),Sjøfart,manuell,
Maskinist paa Tryg,1,Maskinist (skip),Sjøfart,manuell,Tryg' antatt fartøysnavn
Maskinist ved Dampskib,1,Maskinist (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Maskinist ved dampskib,1,Maskinist (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
"Maskinist, Dampskib",1,Maskinist (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
matros,1,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Matros med Skib fra Sarpsborg,1,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Matros Pr. Seilskib,1,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Matros paa Dampskib,1,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Matros paa seilskib,1,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Restauratrice på dampskib,1,Restauratrise (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
S/S Fyrbøder,1,Fyrbøter (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Seilmager paa Skib,1,Seilmaker,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
SeilSkibskaptein,1,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sjømand - Matros,1,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sjømand - Skibsfører,1,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sjømand Styrmand,1,Styrmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sjømand; matros,1,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skibs Kapttein Seilskib,1,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skibs tømmermand,1,Skipstømmermann,Sjøfart,regel,donkeymann = maskinpasser om bord
Skibscapt. og Gaardejer,1,Skipsfører,Sjøfart,manuell,
Skibscaptein,1,Skipsfører,Sjøfart,regel,donkeymann = maskinpasser om bord
skibsfører,1,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skibsfører & Reder,1,Skipsfører,Sjøfart,manuell,
Skibsfører F.t. 'uden Empløi',1,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skibsfører Seilskib,1,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skibsgut,1,Dekksgutt,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skibskok ved seilskib,1,Skipskokk,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
SkibsTømmermand,1,Skipstømmermann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
SkibstømmerMand,1,Skipstømmermann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
skibstømmermand,1,Skipstømmermann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skibstømmermand samt Gaardejer,1,Skipstømmermann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skipper,1,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skipper på indsjødamper,1,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skipperborger,1,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skipperborger & Sunhedsassistent,1,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skipstømmermand,1,Skipstømmermann,Sjøfart,regel,donkeymann = maskinpasser om bord
Skjøman Dæksgut,1,Dekksgutt,Sjøfart,regel,donkeymann = maskinpasser om bord
Stuer ombord i Skibe og Husejer,1,Stuer/bryggearbeider,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Stuer Seil og Dampskib,1,Stuer/bryggearbeider,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Stuer-Arbeider,1,Stuer/bryggearbeider,Sjøfart,regel,"fallback-regel, sjekket manuelt"
StuerArbeider,1,Stuer/bryggearbeider,Sjøfart,regel,
Stuerarbeider paa Skibene,1,Stuer/bryggearbeider,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Stuert med Dampskib Ansgar,1,Stuert,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
"Stuert, med Seilskibe søman",1,Stuert,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Stuver Arbeider,1,Stuer/bryggearbeider,Sjøfart,regel,"fallback-regel, sjekket manuelt"
StyerArbeider,1,Stuer/bryggearbeider,Sjøfart,regel,"fallback-regel, sjekket manuelt"
Styrman & Arbeider,1,Styrmann,Sjøfart,regel,donkeymann = maskinpasser om bord
Styrmand dampskib,1,Styrmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Styrmand med seilskib France,1,Styrmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Styrmand med Skib fra Frhald,1,Styrmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Styrmand paa Dampskib,1,Styrmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
"Styrmand, Seilskib",1,Styrmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Søfarende Dreng,1,Dekksgutt,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand & Handelsm.,1,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand Dampskibsfører,1,Dampskipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand jungmand,1,Jungmann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand matros,1,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand Matros med Skib fra Frhald,1,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand Matros med Xania?? Skib,1,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand med Seilskib. Matros,1,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand og bryggearbeider,1,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand og Saugbrugsarbeider,1,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand og Stuerarbeid,1,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand Skibsgut,1,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand Tømmermand,1,Skipstømmermann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
"Sømand, Arrestant",1,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
"Sømand, tømmermand",1,Skipstømmermann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand. letmatros,1,Lettmatros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sømand. Stuert,1,Stuert,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Søn og Skibscaptein,1,Skipsfører,Sjøfart,regel,donkeymann = maskinpasser om bord
Søn og Sømand,1,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Tømmermand Skibs,1,Skipstømmermann,Sjøfart,manuell,
Tømmermand. Skibstømmermand,1,Skipstømmermann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Barn Skoleelev,1,Skolebarn,Skoleelev,regel,
Datter - Skolegut!!,1,Skolebarn,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Datter - Skolepige,1,Skolebarn,Skoleelev,regel,
Datter - Skolesøgende,1,Skolebarn,Skoleelev,regel,
elev af latingymnasiet,1,Gymnasiast,Skoleelev,regel,
Elev af styrmandsskole,1,Sjøfartselev,Skoleelev,regel,
Elev v/ 1te Gymnasie,1,Gymnasiast,Skoleelev,regel,
Gymnasiast,1,Gymnasiast,Skoleelev,regel,
Gymnasiastelev,1,Gymnasiast,Skoleelev,regel,
gaar paa skolen,1,Skolebarn,Skoleelev,regel,
gaar til konfirmation,1,Skolebarn,Skoleelev,regel,
Haandarbeidsskole elev,1,Håndarbeidselev,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Industriskole,1,Industriskoleelev,Skoleelev,regel,"fallback-regel, sjekket manuelt"
intet Skolebarn,1,Skolebarn,Skoleelev,regel,
Læser til Artium,1,Gymnasiast,Skoleelev,regel,
Privat Skole,1,Skolebarn,Skoleelev,regel,
privat skole,1,Skolebarn,Skoleelev,regel,
Skoedecipel,1,Skolebarn,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Skole Gymnasiast,1,Gymnasiast,Skoleelev,regel,
Skoledecipel!!,1,Skolebarn,Skoleelev,regel,
skoleelev,1,Skolebarn,Skoleelev,regel,
Skoleelev. Gymnasiast,1,Gymnasiast,Skoleelev,regel,
Skolegut - Søn,1,Skolebarn,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Skolesøgende - Dattersøn,1,Skolesøkende,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Skolesøgende %Søn%,1,Skolesøkende,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Skolesøgende Søn,1,Skolesøkende,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Skollepligtig,1,Skolebarn,Skoleelev,manuell,
Styrmandsskoleelev,1,Sjøfartselev,Skoleelev,regel,
Søn Skolegut,1,Skolebarn,Skoleelev,regel,
"to Skolepligtige, Datter",1,Skolebarn,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Arbske i Modeforretning,1,Motehandler,Tekstil og søm,regel,
beskjeftiget ved linsøm-forretning,1,Syforretning,Tekstil og søm,regel,
Dameskrædderinde,1,Motehandler,Tekstil og søm,regel,
Damesøm,1,Sypike/syerske,Tekstil og søm,regel,
Datter Sylære,1,Sypike/syerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Deltager i Broderiforretning,1,Syforretning,Tekstil og søm,regel,
Driver med Linsøm,1,Sypike/syerske,Tekstil og søm,regel,
Egen Syforretning,1,Syforretning,Tekstil og søm,regel,
Gaardeier og Skrædder egen forretning,1,Skreddermester,Tekstil og søm,regel,
har Strygeforretning,1,Strykerske,Tekstil og søm,regel,
Hue-sømmerske hos Eliassen,1,Sypike/syerske,Tekstil og søm,regel,
Huseier & Sypige,1,Sypike/syerske,Tekstil og søm,regel,
Huseierske Kjolesyerske,1,Sypike/syerske,Tekstil og søm,regel,
Husgjerning og strygning,1,Strykerske,Tekstil og søm,manuell,yrket vinner over familiestilling
Husgjerning og søm,1,Sypike/syerske,Tekstil og søm,manuell,yrket vinner over familiestilling
Husgjerning og Sømmerske,1,Sypike/syerske,Tekstil og søm,manuell,yrket vinner over familiestilling
Husgjærning og Søm,1,Sypike/syerske,Tekstil og søm,manuell,yrket vinner over familiestilling
Husmor Strygerske,1,Strykerske,Tekstil og søm,manuell,yrket vinner over familiestilling
Husstel og Syerske,1,Sypike/syerske,Tekstil og søm,manuell,yrket vinner over familiestilling
Husstel Spinderske,1,Spinnerske,Tekstil og søm,manuell,yrket vinner over familiestilling
Hustru og Syerske,1,Sypike/syerske,Tekstil og søm,manuell,yrket vinner over familiestilling
Hustru Tilsyer ved Foretning,1,Sypike/syerske,Tekstil og søm,manuell,yrket vinner over familiestilling
Haandarbeide Broderi & c.,1,Sypike/syerske,Tekstil og søm,regel,
Haandarbeide Søm af slips & c.,1,Søm av slips,Tekstil og søm,regel,
Haandstrikning,1,Strikkerske,Tekstil og søm,regel,
Haanvæver og syr undertøi,1,Sypike/syerske,Tekstil og søm,regel,
Kjole Søm,1,Sypike/syerske,Tekstil og søm,regel,
Kjolesyerske,1,Sypike/syerske,Tekstil og søm,regel,
Klædesømmerske,1,Sypike/syerske,Tekstil og søm,regel,
Kaabesømelev,1,Sypike/syerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Kaabesømmerske,1,Sypike/syerske,Tekstil og søm,regel,
Linsyerske. - Egen Forretning,1,Sypike/syerske,Tekstil og søm,regel,
Maskinstrikning,1,Strikkerske,Tekstil og søm,regel,
Modehandlerinde Egen forretning,1,Motehandler,Tekstil og søm,regel,
Skrædder - Tilskjærer,1,Skredder,Tekstil og søm,regel,
Skrædder for egen regning,1,Skredder,Tekstil og søm,regel,
Skrædder S (ondt i venstre arm),1,Skredder,Tekstil og søm,regel,
Skrædder Skræddersvend,1,Skreddersvenn,Tekstil og søm,regel,
Skrædderforretning,1,Skredder,Tekstil og søm,regel,
Skrædderlærling,1,Skredderlærling,Tekstil og søm,regel,
Skrædderm,1,Skreddermester,Tekstil og søm,regel,
Skræddermester & Huseier,1,Skreddermester,Tekstil og søm,regel,
Skræddermester Egen forretning,1,Skreddermester,Tekstil og søm,regel,
Skræddermester egen regning,1,Skreddermester,Tekstil og søm,regel,
Skræddermester for egen regning,1,Skreddermester,Tekstil og søm,regel,
Skräddersvend,1,Skreddersvenn,Tekstil og søm,regel,"markør = biljardmarkør, håndverk-ish; tvil"
Skræddersvend hos W Johannesen,1,Skreddersvenn,Tekstil og søm,regel,
Strikeforetning,1,Strikkerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Strikerske eget Erverv,1,Strikkerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Strikkerske i Huset,1,Strikkerske,Tekstil og søm,regel,
Strikkerske v/ Strikkeforr.,1,Strikkerske,Tekstil og søm,regel,
"Strikkerske, strømper",1,Strikkerske,Tekstil og søm,regel,
Strikning,1,Strikkerske,Tekstil og søm,regel,
Strikning for arbeidshus Fattigunderstøttet,1,Arbeidshus,Forsørget,regel,
Strikning m/ Maskin,1,Strikkerske,Tekstil og søm,regel,
Strygeforrætning e regn.,1,Strykerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Strygekone,1,Strykerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Strygepige,1,Strykerske,Tekstil og søm,regel,
Strygepige i Husene,1,Strykerske,Tekstil og søm,regel,
Stryger,1,Strykerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Strygerske,1,Strykerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Strykejomfru,1,Strykerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Sy Elef,1,Sypike/syerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Sydame eget erhværv,1,Sypike/syerske,Tekstil og søm,regel,
Syepige,1,Sypike/syerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Syer hos Moderen,1,Sypike/syerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Syer Undertøi for Butiker,1,Sypike/syerske,Tekstil og søm,regel,
Syerske egen syforretning,1,Sypike/syerske,Tekstil og søm,regel,
Syerske hjemme,1,Sypike/syerske,Tekstil og søm,regel,
Syerske i Hjemmet,1,Sypike/syerske,Tekstil og søm,regel,
Syforetning,1,Syforretning,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Syforretning egen,1,Syforretning,Tekstil og søm,regel,
Syforretning Hustru,1,Syforretning,Tekstil og søm,regel,
Syjomfru for Egen regning,1,Sypike/syerske,Tekstil og søm,regel,
Sypige & tjener,1,Sypike/syerske,Tekstil og søm,regel,
Sypige elev,1,Sypike/syerske,Tekstil og søm,regel,
Sypige hos sydame,1,Sypike/syerske,Tekstil og søm,regel,
Sypige Kjolesøm,1,Sypike/syerske,Tekstil og søm,regel,
Sypige ude,1,Sypike/syerske,Tekstil og søm,regel,
"Sypige, kjolesøm",1,Sypike/syerske,Tekstil og søm,regel,
Syr damesøm,1,Sypike/syerske,Tekstil og søm,regel,
syr for butikker,1,Sypike/syerske,Tekstil og søm,regel,
syr i husene,1,Sypike/syerske,Tekstil og søm,regel,
syr Kjolesøm,1,Sypike/syerske,Tekstil og søm,regel,
Syverske %Pige%,1,Sypike/syerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
søm,1,Sypike/syerske,Tekstil og søm,regel,
Søm & Logi,1,Sypike/syerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Søm af gutteklæder,1,Sypike/syerske,Tekstil og søm,regel,
Søm og Vask,1,Sypike/syerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Sømerske,1,Sypike/syerske,Tekstil og søm,regel,"fallback-regel, sjekket manuelt"
Sømmerske pension,1,Sypike/syerske,Tekstil og søm,regel,
Udfører Strygningsarbeide,1,Strykerske,Tekstil og søm,regel,
Væverske og Husgjerning,1,Veverske,Tekstil og søm,manuell,yrket vinner over familiestilling
"Vævning, Vaskning & Strikning",1,Veverske,Tekstil og søm,regel,
Wæverske,1,Veverske,Tekstil og søm,manuell,
Arb-Vognmand,1,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arb. Kjører,1,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arb.vognmandsforretning og Husejerske,1,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeider Jernbane,1,Jernbanearbeider,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeider og Kjørerkarl,1,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeider ved privat jernbane,1,Jernbanearbeider,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeids - Kjører,1,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeids Kjører,1,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeids Kjører Gårdeier,1,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeids-Kjører for bygmester,1,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeids-Vognmand,1,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeidskjører,1,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeidskjører & Gårdeier,1,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeidskjøring,1,Vognmann/kjører,Transport,regel,schweitzer = portner/dørvakt
